x,y,id,timestamp
481.0,481.0,1-1,2023-01-23 09:04:44.557328
481.0,481.0,1-1,2023-01-23 09:04:46.001204
481.0,481.0,1-1,2023-01-23 09:04:46.003298
481.0,481.0,1-1,2023-01-23 09:04:47.248473
481.0,481.0,1-1,2023-01-23 09:04:47.249853
483.0,482.0,1-1,2023-01-23 09:04:47.251490
481.0,481.0,1-1,2023-01-23 09:04:48.336384
481.0,481.0,1-1,2023-01-23 09:04:48.338275
483.0,482.0,1-1,2023-01-23 09:04:48.341869
481.0,483.0,1-1,2023-01-23 09:04:48.346868
481.0,481.0,1-3,2023-01-23 09:04:49.490345
481.0,481.0,1-3,2023-01-23 09:04:49.492179
483.0,482.0,1-3,2023-01-23 09:04:49.495595
481.0,483.0,1-3,2023-01-23 09:04:49.499995
482.0,483.0,1-3,2023-01-23 09:04:49.505991
481.0,481.0,1-3,2023-01-23 09:04:50.936304
481.0,481.0,1-3,2023-01-23 09:04:50.939874
483.0,482.0,1-3,2023-01-23 09:04:50.943142
481.0,483.0,1-3,2023-01-23 09:04:50.946047
482.0,483.0,1-3,2023-01-23 09:04:50.956990
481.0,483.0,1-3,2023-01-23 09:04:50.986920
323.0,478.0,2-1,2023-01-23 09:04:52.220634
323.0,478.0,2-1,2023-01-23 09:04:52.280261
329.0,470.0,2-1,2023-01-23 09:04:52.284954
323.0,478.0,2-1,2023-01-23 09:04:52.339017
329.0,470.0,2-1,2023-01-23 09:04:52.340944
332.0,468.0,2-1,2023-01-23 09:04:52.346210
323.0,478.0,2-1,2023-01-23 09:04:52.544003
329.0,470.0,2-1,2023-01-23 09:04:52.546391
332.0,468.0,2-1,2023-01-23 09:04:52.548473
333.0,469.0,2-1,2023-01-23 09:04:52.557856
337.0,397.0,3-1,2023-01-23 09:04:52.564766
323.0,478.0,2-1,2023-01-23 09:04:52.663772
329.0,470.0,2-1,2023-01-23 09:04:52.665864
332.0,468.0,2-1,2023-01-23 09:04:52.667309
333.0,469.0,2-1,2023-01-23 09:04:52.669012
331.0,470.0,2-1,2023-01-23 09:04:52.670413
337.0,397.0,3-1,2023-01-23 09:04:52.672948
348.0,388.0,3-1,2023-01-23 09:04:52.676352
323.0,478.0,2-1,2023-01-23 09:04:52.796088
329.0,470.0,2-1,2023-01-23 09:04:52.798025
332.0,468.0,2-1,2023-01-23 09:04:52.803619
333.0,469.0,2-1,2023-01-23 09:04:52.808028
331.0,470.0,2-1,2023-01-23 09:04:52.819270
332.0,470.0,2-1,2023-01-23 09:04:52.824531
337.0,397.0,3-1,2023-01-23 09:04:52.832008
348.0,388.0,3-1,2023-01-23 09:04:52.838137
358.0,383.0,3-1,2023-01-23 09:04:52.839642
323.0,478.0,2-1,2023-01-23 09:04:52.945807
329.0,470.0,2-1,2023-01-23 09:04:52.948482
332.0,468.0,2-1,2023-01-23 09:04:52.959523
333.0,469.0,2-1,2023-01-23 09:04:52.961732
331.0,470.0,2-1,2023-01-23 09:04:52.964167
332.0,470.0,2-1,2023-01-23 09:04:52.967907
332.0,469.0,2-1,2023-01-23 09:04:52.970763
337.0,397.0,3-1,2023-01-23 09:04:52.973159
348.0,388.0,3-1,2023-01-23 09:04:52.976288
358.0,383.0,3-1,2023-01-23 09:04:52.979661
376.0,373.0,3-1,2023-01-23 09:04:52.981969
323.0,478.0,2-1,2023-01-23 09:04:53.059215
329.0,470.0,2-1,2023-01-23 09:04:53.061788
332.0,468.0,2-1,2023-01-23 09:04:53.066533
333.0,469.0,2-1,2023-01-23 09:04:53.080201
331.0,470.0,2-1,2023-01-23 09:04:53.084145
332.0,470.0,2-1,2023-01-23 09:04:53.107954
332.0,469.0,2-1,2023-01-23 09:04:53.122132
332.0,469.0,2-1,2023-01-23 09:04:53.129945
337.0,397.0,3-1,2023-01-23 09:04:53.134274
348.0,388.0,3-1,2023-01-23 09:04:53.139160
358.0,383.0,3-1,2023-01-23 09:04:53.142299
376.0,373.0,3-1,2023-01-23 09:04:53.145819
401.0,356.0,3-1,2023-01-23 09:04:53.148615
323.0,478.0,2-1,2023-01-23 09:04:53.273748
329.0,470.0,2-1,2023-01-23 09:04:53.275985
332.0,468.0,2-1,2023-01-23 09:04:53.277382
333.0,469.0,2-1,2023-01-23 09:04:53.279735
331.0,470.0,2-1,2023-01-23 09:04:53.282894
332.0,470.0,2-1,2023-01-23 09:04:53.301431
332.0,469.0,2-1,2023-01-23 09:04:53.307930
332.0,469.0,2-1,2023-01-23 09:04:53.329698
331.0,469.0,2-1,2023-01-23 09:04:53.347979
337.0,397.0,3-1,2023-01-23 09:04:53.353787
348.0,388.0,3-1,2023-01-23 09:04:53.368704
